description,amount,direction,category
YMCA POS 2253,32.21,debit,Fitness
Card Store POS 7869,211.73,debit,Gifts
AT&T POS 4585,94.02,debit,Utilities
Expedia Online,192.19,debit,Travel
City Taxi - Order 18511,74.33,debit,Transport
Misc Vendor #6939,41.81,debit,Other
Transit Card POS 3147,16.11,debit,Transport
Spotify - Order 65492,127.31,debit,Entertainment
Domino's #4845,116.08,debit,Food & Drink
Card Store - Order 40924,68.16,debit,Gifts
Trader Joe's #2861,49.93,debit,Groceries
Life Insurance Payment POS 2780,186.96,debit,Insurance
Flipkart Online,837.77,debit,Shopping
Gym Membership #4989,26.94,debit,Fitness
Gym Membership POS 7837 (promo),22.82,debit,Fitness
Doctor Clinic #5836,605.82,debit,Medical
Comcast - Order 80484,220.72,debit,Utilities
Transit Card POS 6759,69.86,debit,Transport
Movie Theater - Order 44229,51.86,debit,Entertainment
Con Edison #192,967.58,debit,Utilities
Texaco Outlet,75.42,debit,Fuel
Gift Shop - Order 96918,27.67,debit,Gifts
Olive Garden Online REFUND,23.99,credit,Food & Drink
Airbnb - Order 87687,1801.83,debit,Travel
Walgreens POS 6549,28.05,debit,Medical
Gift Shop POS 1487,7.93,debit,Gifts
ExxonMobil #4752,46.8,debit,Fuel
BP Branch,95.78,debit,Fuel
ExxonMobil #8892 (online),25.95,debit,Fuel
AT&T #7737,123.83,debit,Utilities
Rent Payment Branch,946.26,debit,Housing
Housing Society #7288,1887.54,debit,Housing
Freelance Upwork Outlet,28545.05,credit,Income
Life Insurance Payment Branch,377.28,debit,Insurance
Landlord Inc POS 3334,738.49,debit,Housing
Rent Payment #7942,1937.91,debit,Housing
Auto Loan Payment - Order 19012,282.32,debit,Loans
Housing Society - Order 83537,1221.12,debit,Housing
Texaco - Order 92667,282.52,debit,Fuel
Olive Garden POS 4743,56.06,debit,Food & Drink
Gym Membership Branch,60.01,debit,Fitness
Trader Joe's #3991,91.9,debit,Groceries
Gift Shop #3683,134.02,debit,Gifts
Texaco #5421,98.23,debit,Fuel
Landlord Inc In-Store,528.36,debit,Housing
Uber In-Store,46.25,debit,Transport
AMC - Order 32833,148.13,debit,Entertainment
Freelance Upwork - Order 63054,20945.72,credit,Income
Freelance Upwork - Order 11170,22598.22,credit,Income
Lyft - Order 23474,13.92,debit,Transport
Insurance Co Online,169.93,debit,Insurance
Expedia - Order 23686,106.68,debit,Travel
Service Charge - Order 78783,14.77,debit,Other
City Hospital POS 6320,56.97,debit,Medical
Loan EMI Bank - Order 36767,673.42,debit,Loans
Bank Fee #1643,127.9,debit,Other
Whole Foods Branch,197.0,debit,Groceries
Apple Store Online,273.69,debit,Shopping
Bank Fee POS 7191,124.16,debit,Other
Shell - Order 96533,28.07,debit,Fuel
Expedia #8801 REFUND,1003.34,credit,Travel
Lyft Outlet,76.6,debit,Transport
McDonald's Branch,66.58,debit,Food & Drink
Expedia #6268,1086.02,debit,Travel
Insurance Co Online,189.07,debit,Insurance
Airbnb POS 5380,173.57,debit,Travel
Misc Vendor POS 7637,120.7,debit,Other
AMC Outlet,35.71,debit,Entertainment
